Año,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
2021,"Media Luna, Ags.","Media Luna, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,1621.96,21.196,1619.2,15,1610.2,3.16,21
2021,"La Codorniz, Ags.","La Codorniz, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,1837.76,6.528,1836,5.366,1829.93,2.466,46
2021,"El Niágara, Ags.","El Niágara, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,1832.4,31.695,1828.4,16.188,1828.66,16.937,105
2021,"Abelardo L. Rodríguez, Ags.","Abelardo L. Rodríguez, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,1890,18.816,1888.88,15.997,1882.12,4.661,29
2021,"Jocoque, Ags.","Derecha Jocoque, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,1943.4,11.4,1942.45,10.975,1942.09,10.713,98
2021,"Plutarco Elías Calles, Ags.","Calles, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,2022,407.438,2020,358.121,2004.99,99.891,28
2021,"Derivadora Pabellón, Ags.","Derecha Potrerillos, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,2093,2.1,2092.6,2.038,2087.5,1.35,66
2021,"Cincuenta Aniversario, Ags.",San José de Gracia,Lerma-Santiago-Pacífico,Aguascalientes,2088.57,5.039,2086,4.1,2084.5,3.69,90
