Año,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
2020,"Media Luna, Ags.","Media Luna, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,1621.96,21.196,1619.2,15,1612.2,4.95,33
2020,"La Codorniz, Ags.","La Codorniz, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,1837.76,6.528,1836,5.366,1831.13,2.933,55
2020,"El Niágara, Ags.","El Niágara, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,1832.4,31.695,1828.4,16.188,1828.57,16.678,103
2020,"Abelardo L. Rodríguez, Ags.","Abelardo L. Rodríguez, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,1890,18.816,1888.88,15.997,1882.58,5.175,32
2020,"Jocoque, Ags.","Derecha Jocoque, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,1943.4,11.4,1942.45,10.975,1941.94,10.608,97
2020,"Plutarco Elías Calles, Ags.","Calles, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,2022,407.438,2020,358.121,2007.78,135.85,38
2020,"Derivadora Pabellón, Ags.","Derecha Potrerillos, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,2093,2.1,2092.6,2.038,2086.72,1.256,62
2020,"Cincuenta Aniversario, Ags.",San José de Gracia,Lerma-Santiago-Pacífico,Aguascalientes,2088.57,5.039,2086,4.1,2081.38,2.957,72
