Año,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
2014,"Derivadora Pabellón, Ags.",Der. Potrerillos,Lerma-Santiago-Pacífico,Aguascalientes,2093,2.1,2092.6,2.038,2086.93,1.282,63
2014,"Plutarco Elías Calles, Ags.",Calles,Lerma-Santiago-Pacífico,Aguascalientes,2022,407.438,2020,358.121,2006.6,114.2,32
2014,"El Niagara, Ags.",El Niagara,Lerma-Santiago-Pacífico,Aguascalientes,1832.4,31.695,1828.4,16.188,1828.67,16.966,105
2014,"La Codorniz, Ags.",La Codorniz,Lerma-Santiago-Pacífico,Aguascalientes,1837.76,6.528,1836,5.366,1834.06,4.278,80
2014,"Media Luna, Ags.",Media Luna,Lerma-Santiago-Pacífico,Aguascalientes,1621.96,21.196,1619.2,15,1616.26,10.166,68
2014,"Jocoque, Ags.",Der. Jocoqui,Lerma-Santiago-Pacífico,Aguascalientes,1943.4,11.4,1942.45,10.975,1941.99,10.643,97
2014,"Abelardo L. Rodríguez., Ags.",Abelardo L. Rodríguez,Lerma-Santiago-Pacífico,Aguascalientes,1890,18.84,1888.9,15.99,1884.34,7.292,46
