Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
"Plutarco Elías Calles, Ags.",Calles,Lerma-Santiago-Pacífico,Aguascalientes,2022,407.438,2020,358.121,2011.66,195.988,55
"El Niagara, Ags.",El Niagara,Lerma-Santiago-Pacífico,Aguascalientes,1832.4,31.695,1828.4,16.188,1828.5,16.477,102
"Media Luna, Ags.",Media Luna,Lerma-Santiago-Pacífico,Aguascalientes,1621.96,21.196,1619.2,15,1614.75,7.9,53
"La Codorniz, Ags.",La Codorniz,Lerma-Santiago-Pacífico,Aguascalientes,1837.76,6.528,1836,5.366,1828.4,1.929,36
"Jocoque, Ags.",Der. Jocoqui,Lerma-Santiago-Pacífico,Aguascalientes,1943.4,11.4,1942.45,10.975,1942.45,10.975,100
"Derivadora Pabellón, Ags.",Der. Potrerillos,Lerma-Santiago-Pacífico,Aguascalientes,2093,2.1,2092.6,2.038,2086.11,1.183,58
"Abelardo L. Rodríguez., Ags.",Abelardo L. Rodríguez,Lerma-Santiago-Pacífico,Aguascalientes,1890,18.84,1888.9,15.99,1886.27,10.532,66
