Año,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
2024,"Derivadora Pabellón, Ags.","Derecha Potrerillos, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,2093,2.1,2092.6,2.038,2086.91,1.279,63
2024,"Plutarco Elías Calles, Ags.","Calles, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,2022,407.438,2020,358.121,1998.02,36.231,10
2024,"El Niágara, Ags.","El Niágara, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,1832.4,31.695,1828.4,16.188,1828.52,16.534,102
2024,"Media Luna, Ags.","Media Luna, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,1621.96,21.196,1619.2,15,1609.27,2.446,16
2024,"Jocoque, Ags.","Derecha Jocoque, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,1943.4,11.4,1942.45,10.975,1939.67,9.122,83
2024,"La Codorniz, Ags.","La Codorniz, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,1837.76,6.528,1836,5.366,1822.48,0.443,8
2024,"Cincuenta Aniversario, Ags.",San José de Gracia,Lerma-Santiago-Pacífico,Aguascalientes,2088.57,5.039,2086,4.1,2079.68,2.573,63
2024,"Abelardo L. Rodríguez, Ags.","Abelardo L. Rodríguez, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,1890,18.816,1888.88,15.997,1881.51,4.052,25
