Año,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
2016,"La Codorniz, Ags.",La Codorniz,Lerma-Santiago-Pacífico,Aguascalientes,1837.76,6.528,1836,5.366,1831.87,3.243,60
2016,"Abelardo L. Rodríguez., Ags.",Abelardo L. Rodríguez,Lerma-Santiago-Pacífico,Aguascalientes,1890,18.84,1888.9,15.99,1885.21,8.737,55
2016,"Jocoque, Ags.",Der. Jocoqui,Lerma-Santiago-Pacífico,Aguascalientes,1943.4,11.4,1942.45,10.975,1942.43,10.961,100
2016,"Derivadora Pabellón, Ags.",Der. Potrerillos,Lerma-Santiago-Pacífico,Aguascalientes,2093,2.1,2092.6,2.038,2086.16,1.189,58
2016,"Plutarco Elías Calles, Ags.",Calles,Lerma-Santiago-Pacífico,Aguascalientes,2022,407.438,2020,358.121,2012.78,205.058,57
2016,"El Niagara, Ags.",El Niagara,Lerma-Santiago-Pacífico,Aguascalientes,1832.4,31.695,1828.4,16.188,1828.48,16.419,101
2016,"Media Luna, Ags.",Media Luna,Lerma-Santiago-Pacífico,Aguascalientes,1621.96,21.196,1619.2,15,1616.06,9.846,66
