#,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
148,"Peñuelitas, Gto.","Peñuelitas, Gto.","Lerma Santiago PacÃ­fico","Guanajuato","1907.290","30.169","1904.700","17.460","1895.960","0.000",0
147,"Ñadó, Méx.","Ñadó, Méx.","Aguas del Valle de MÃ©xico","Estado de MÃ©xico","2475.500","18.500","2474.000","16.800","2456.660","3.230",19
146,"Los Moraleños, Zac.","Moraleños","Lerma Santiago PacÃ­fico","Zacatecas","1322.930","26.070","1318.960","20.932","1309.550","8.367",40
145,"Ing. Rodolfo Félix Valdés, Son.","El Molinito, Son.","Noroeste","Sonora","293.400","222.470","289.360","121.202","277.390","8.117",7
144,"El Molino, Méx.","El Molino, Méx.","Aguas del Valle de MÃ©xico","Estado de MÃ©xico","2385.090","8.700","2384.390","7.686","2378.000","0.302",4
143,"Miguel Hidalgo, Sin.","El Mahoné, Sin.","PacÃ­fico Norte","Sinaloa","148.000","4171.273","140.830","3096.630","104.330","218.418",7
142,"Madín, Méx.","Madín, Méx.","Aguas del Valle de MÃ©xico","Estado de MÃ©xico","2346.040","17.964","2336.290","9.370","2331.640","6.700",72
141,"Ing. Alfredo Elías Ayub, Jal.","La Yesca, Jal.","Lerma Santiago PacÃ­fico","Nayarit","578.000","2392.880","575.000","2292.920","542.840","1407.570",61
140,"Pedro José Méndez, Tamps.","Pedro J. Méndez, Tamps.","Golfo Norte","Tamaulipas","449.400","38.360","447.220","31.260","433.720","5.676",18
139,"Ignacio Ramírez, Méx.","La Gavia, Méx.","Lerma Santiago PacÃ­fico","Estado de MÃ©xico","2550.480","36.300","2548.440","20.227","2546.340","8.690",43
138,"Francisco José Trinidad Fabela, Méx.","Islas de las Aves o El Salto, Méx.","Lerma Santiago PacÃ­fico","Estado de MÃ©xico","2697.800","12.320","2696.700","9.930","2690.990","1.770",18
137,"La Esperanza, Hgo.","La Esperanza, Hgo.","Golfo Norte","Hidalgo","2209.600","4.200","2207.700","3.920","2207.700","3.920",100
136,"Angel Albino Corzo, Chis.","Peñitas, Chis.","Frontera Sur","Chiapas","95.500","578.630","87.400","215.041","85.620","173.904",81
135,"El Moralillo, Ver.","Piedra Labrada","Golfo Centro","Veracruz de Ignacio de la Llav","115.940","8.126","110.780","2.500","109.660","1.803",72
134,"Plutarco Elías Calles, Son.","El Novillo, Son.","Noroeste","Sonora","296.800","3511.960","290.500","2833.070","246.390","317.735",11
133,"Laguna del Fresno, Mich.","Laguna del Fresno, Mich.","Lerma Santiago PacÃ­fico","MichoacÃ¡n de Ocampo","2057.000","13.132","2055.980","10.299","2051.390","0.720",7
132,"Canseco, Ver.","Laguna de Catemaco, Ver.","Golfo Centro","Veracruz de Ignacio de la Llav","333.500","552.700","332.700","493.020","331.770","424.618",86
131,"Luis Donaldo Colosio, Sin.","Huites, Sin.","PacÃ­fico Norte","Sinaloa","290.000","4567.080","274.000","3202.160","215.650","514.149",16
130,"Lago de Chapala, Jal.","Chapala, Jal.","Lerma Santiago PacÃ­fico","Jalisco","99.000","9279.710","98.000","8126.410","93.470","3172.626",39
129,"Laguna de Amela, Col.","Tecomán, Col.","Lerma Santiago PacÃ­fico","Colima","7.640","41.300","7.390","38.343","5.960","23.270",61
128,"Lázaro Cárdenas, Dgo.","El Palmito, Dgo.","Cuencas Centrales del Norte","Durango","1632.000","4278.541","1620.870","2770.510","1601.010","1130.908",41
127,"La Colonia, Jal.","La Colonia, Jal.","Lerma Santiago PacÃ­fico","Jalisco","103.400","6.500","103.000","5.775","102.550","4.421",77
126,"La Calera, Gro.","La Calera, Gro.","Balsas","Guerrero","122.620","34.193","118.000","9.393","117.300","7.448",79
125,"Lázaro Cárdenas, Son.","La Angostura, Son.","Noroeste","Sonora","840.150","1116.460","830.700","703.380","809.330","122.076",17
124,"La Cangrejera, Ver.","La Crangrejera, Ver.","Golfo Centro","Veracruz de Ignacio de la Llav","21.650","31.600","21.250","28.537","15.710","3.668",13
123,"La Boquilla, Chih.","Lago de Toronto, Chih.","RÃ­o Bravo","Chihuahua","1319.100","3192.750","1317.000","2846.780","1299.180","838.101",29
122,"Derivadora Las Blancas, Tamps.","Las Blancas, Tamps.","RÃ­o Bravo","Tamaulipas","91.800","133.432","89.920","83.784","84.830","23.082",28
121,"Rodrigo Gómez, N.L.","La Boca, N.L.","RÃ­o Bravo","Nuevo LeÃ³n","449.200","42.657","448.540","39.490","441.940","15.032",38
120,"Los Angeles, Mich.","Tres Mezquites","Lerma Santiago PacÃ­fico","MichoacÃ¡n de Ocampo","1688.450","17.096","1687.950","14.590","1684.000","0.458",3
119,"Juan Sabines, Chis.","El Portillo II o Cuxtepeques, Chis.","Frontera Sur","Chiapas","618.270","116.110","612.120","68.150","604.010","29.488",43
118,"Josefa Ortiz de Domínguez, Sin.","El Sabino, Sin.","PacÃ­fico Norte","Sinaloa","112.650","685.110","109.500","519.280","93.170","48.706",9
117,"José López Portillo, Sin.","Comedero, Sin.","PacÃ­fico Norte","Sinaloa","286.950","3966.170","272.160","2580.190","221.730","295.008",11
116,"Jalpan, Qro.","Jalpan","Golfo Norte","QuerÃ©taro","784.550","11.200","780.550","8.000","776.900","2.310",29
115,"Juan Guerrero Alcocer, Sin.","Vinoramas, Sin.","PacÃ­fico Norte","Sinaloa","176.280","102.000","168.500","54.684","151.710","6.365",12
114,"Presidente Benito Juárez, Oax.","Bordo Benito Juárez, Oax.","PacÃ­fico Sur","Oaxaca","139.850","1726.747","124.250","720.317","109.490","213.971",30
113,"Jocoque, Ags.","Derecha Jocoque, Ags.","Lerma Santiago PacÃ­fico","Aguascalientes","1943.400","11.400","1942.450","10.975","1939.880","9.246",84
112,"Jaripo, Mich.","Jaripo, Mich.","Lerma Santiago PacÃ­fico","MichoacÃ¡n de Ocampo","1580.420","9.265","1578.910","6.028","1576.420","2.090",35
111,"Valentín Gama, S.L.P.","Ojo Caliente, S.L.P.","Cuencas Centrales del Norte","San Luis PotosÃ­","1788.100","22.400","1783.800","9.510","1773.930","0.123",1
110,"Ignacio R. Alatorre, Son.","Punta de Agua, Son.","Noroeste","Sonora","102.710","29.690","100.000","16.160","91.200","0.000",0
109,"Infiernillo, Mich.","Infiernillo, Mich.","Balsas","Guerrero","183.200","15194.800","169.000","9367.770","152.500","4625.780",49
108,"San Ildefonso, Qro.","El Tepozán, Qro.","Golfo Norte","QuerÃ©taro","2242.500","58.026","2239.000","47.812","2211.120","0.877",2
107,"Ing. Carlos Ramírez Ulloa, Gro.","El Caracol, Gro.","Balsas","Guerrero","523.600","1183.230","521.000","1057.290","512.670","740.030",70
106,"Lic. Eustaquio Buelna, Sin.","GuamÃºchil, Sin.","PacÃ­fico Norte","Sinaloa","68.850","264.950","63.540","80.080","57.620","8.095",10
105,"Danxho, Méx.","Danxho, Méx.","Aguas del Valle de MÃ©xico","Estado de MÃ©xico","2455.130","32.670","2454.000","31.046","2445.080","6.300",20
104,"De Gonzalo, Mich.","De Gonzalo, Mich.","Lerma Santiago PacÃ­fico","MichoacÃ¡n de Ocampo","1534.900","10.000","1533.880","8.837","1531.600","0.098",1
103,"El Bosque, Mich.","El Bosque, Mich.","Balsas","MichoacÃ¡n de Ocampo","1743.000","220.100","1741.400","202.400","1728.200","82.980",41
102,"Cuquío, Jal.","Los Gigantes, Jal.","Lerma Santiago PacÃ­fico","Jalisco","1806.580","8.850","1805.500","7.500","1802.700","4.325",58
101,"El Cuarenta, Jal.","El Cuarenta, Jal.","Lerma Santiago PacÃ­fico","Jalisco","2001.950","38.960","1998.750","30.625","1985.430","5.116",17
100,"El Carrizo, B.C.","El Carrizo, B.C.","PenÃ­nsula de Baja California","Baja California","286.220","44.585","284.700","40.866","278.400","27.260",67
99,"Corrinchis, Jal.","Corrinchis","Lerma Santiago PacÃ­fico","Jalisco","1336.100","29.000","1332.600","20.000","1327.790","10.822",54
98,"José López Portillo, N.L.","Cerro Prieto, N.L.","RÃ­o Bravo","Nuevo LeÃ³n","285.500","393.000","282.520","300.000","263.610","20.050",7
97,"Cajón de Peña, Jal.","Tomatlán, Jal.","Lerma Santiago PacÃ­fico","Jalisco","139.200","707.620","131.660","500.000","124.290","328.762",66
96,"Copándaro, Mich.","Copándaro de Dolores, Mich.","Lerma Santiago PacÃ­fico","MichoacÃ¡n de Ocampo","1989.209","9.717","1987.659","2.752","1995.360","0.211",8
95,"Cointzio, Mich.","Cointzio, Mich.","Lerma Santiago PacÃ­fico","MichoacÃ¡n de Ocampo","2001.320","79.233","1999.470","68.520","1985.780","16.372",24
94,"El Centenario, Qro.","El Centenario, Qro.","Golfo Norte","QuerÃ©taro","1882.500","14.178","1881.550","9.781","1871.250","0.000",0
